index,income_or_expense,category,original_category,month,year,amount
0,Income,Rent,"Revenue, Rental Revenue, , Gross Rent",March,2023,731218.0
1,Income,Rent,"Revenue, Rental Revenue, , Vacancies Apartments",March,2023,-34267.0
2,Income,Other Income,"Revenue, Rental Revenue, , Delinquency",March,2023,-7753.17
3,Income,Other Income,"Revenue, Other Revenue, , Key Replacement",March,2023,0.0
4,Income,Other Income,"Revenue, Other Revenue, , Laundry & Vending",March,2023,3233.45
5,Income,Other Income,"Revenue, Other Revenue, , NSF & Late Charges",March,2023,3111.03
6,Income,Other Income,"Revenue, Other Revenue, , Application Fees",March,2023,1929.5
7,Income,Other Income,"Revenue, Other Revenue, , Damages & Cleaning Fees",March,2023,2210.38
8,Income,Other Income,"Revenue, Other Revenue, , Forfeited Tenant Deposit",March,2023,732.0
9,Income,Other Income,"Revenue, Other Revenue, , Pet Fees",March,2023,525.0
10,Income,Other Income,"Revenue, Other Revenue, , Water & Sewer Income",March,2023,19681.84
11,Income,Other Income,"Revenue, Other Revenue, , Garage & Parking",March,2023,510.0
12,Income,Other Income,"Revenue, Other Revenue, , Cable Income",March,2023,3092.66
13,Income,Other Income,"Revenue, Other Revenue, , Gas Income",March,2023,3691.2
14,Income,Other Income,"Revenue, Other Revenue, , Electric Income",March,2023,1674.61
15,Income,Other Income,"Revenue, Other Revenue, , Other Revenue",March,2023,0.0
16,Income,Other Income,"Revenue, Other Revenue, , Misc Income",March,2023,797.48
17,Expense,Real Estate Taxes,"Expenses, Real Estate Taxes and Insurance, , Real Estate Taxes",March,2023,65314.68
18,Expense,Insurance,"Expenses, Real Estate Taxes and Insurance, , Property Liability Insurance",March,2023,18732.75
19,Expense,Utilities,"Expenses, Utilities Expense, , Electricity",March,2023,6685.25
20,Expense,Utilities,"Expenses, Utilities Expense, , Water",March,2023,15760.11
21,Expense,Utilities,"Expenses, Utilities Expense, , Gas",March,2023,7077.8
22,Expense,Utilities,"Expenses, Utilities Expense, , Sewer",March,2023,15617.73
23,Expense,Utilities,"Expenses, Utilities Expense, , Telephone/Answering Service",March,2023,365.97
24,Expense,Payroll,"Expenses, Payroll Expenses, , Manager Payroll",March,2023,6410.55
25,Expense,Payroll,"Expenses, Payroll Expenses, , Grounds Payroll",March,2023,5267.18
26,Expense,Payroll,"Expenses, Payroll Expenses, , Repairs Payroll",March,2023,23563.18
27,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Processing Charge",March,2023,336.02
28,Expense,Payroll,"Expenses, Payroll Expenses, , Payroll Taxes",March,2023,4521.81
29,Expense,Payroll,"Expenses, Payroll Expenses, , Health Insurance/Other Benefits",March,2023,5614.23
30,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Grounds Maintenance",March,2023,5427.07
31,Expense,Repairs & Maintenance,"Expenses, Landscaping and Snow Removal, , Snow Removal",March,2023,3340.43
32,Expense,Other Expense,"Expenses, Trash Removal, , Garbage & Trash Removal",March,2023,5509.31
33,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Cleaning Supply",March,2023,1643.71
34,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Janitor/Clean Contract",March,2023,2219.85
35,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Exterminating Contract",March,2023,2891.42
36,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Uniforms/Linen Service",March,2023,762.46
37,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Security Service",March,2023,1890.6
38,Expense,Other Expense,"Expenses, Operating and Maintenance Expense, , Fire and Security",March,2023,610.33
39,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Repairs Contract",March,2023,2824.83
40,Expense,Repairs & Maintenance,"Expenses, Operating and Maintenance Expense, , Misc. Maint./Operating",March,2023,4071.38
41,Expense,General & Administrative,"Expenses, Administrative Expense, , Bank Fees",March,2023,112.0
42,Expense,General & Administrative,"Expenses, Administrative Expense, , Other Renting Expense",March,2023,2405.86
43,Expense,General & Administrative,"Expenses, Administrative Expense, , Office Supplies",March,2023,702.24
44,Expense,General & Administrative,"Expenses, Administrative Expense, , Postage & Freight",March,2023,0.0
